date,location,flavor,size,qty,defecttype,cavitynum,jobnum,shift
9/10/14,3,Sweet Greens and Lemon,15.2,1,7,,167407,1
9/10/14,3,Grapefurit,32,2,7,,168123,1
9/10/14,3,Reg Orange,128,2,8,,168189,1
9/10/14,3,Reg Orange,128,2,6,,168189,1
9/10/14,3,Reg Orange,128,1,2,,168189,1
9/10/14,3,Grapefurit,128,1,2,,168128,1
9/10/14,4,Apple Berry,15.2,14,2,,168158,1
9/10/14,4,Defense Up,15.2,6,2,,168184,1
9/10/14,4,Defense Up,15.2,6,4,,168184,1
9/10/14,4,Defense Up,15.2,6,7,,168184,1
9/10/14,4,Coconut Water Pineapple,15.2,2,6,,168152,1
9/10/14,4,Coconut Water Pineapple,15.2,1,2,,168152,1
9/10/14,2,Defense Up,15.2,1,3,2,168184,1
9/10/14,2,Defense Up,15.2,1,3,28,168184,1
9/10/14,2,Defense Up,15.2,1,3,17,168184,1
9/10/14,2,Defense Up,15.2,1,3,17,168184,1
9/10/14,2,Defense Up,15.2,1,3,21,168184,1
9/10/14,2,Defense Up,15.2,1,3,18,168184,1
9/10/14,2,Defense Up,15.2,1,3,18,168184,1
9/10/14,2,Defense Up,15.2,1,3,19,168184,1
9/10/14,2,Defense Up,15.2,1,3,17,168184,1
9/10/14,2,Defense Up,15.2,1,3,19,168184,1
9/10/14,2,Defense Up,15.2,1,3,21,168184,1
9/10/14,2,Defense Up,15.2,1,3,21,168184,1
9/10/14,2,Defense Up,15.2,1,3,20,168184,1
9/10/14,2,Defense Up,15.2,1,3,23,168184,1
9/10/14,2,Defense Up,15.2,1,3,23,168184,1
9/10/14,2,Defense Up,15.2,1,3,23,168184,1
9/10/14,2,Defense Up,15.2,1,3,23,168184,1
9/10/14,2,Coconut Water Pineapple,15.2,1,3,28,168152,1
9/10/14,2,Coconut Water Pineapple,15.2,1,3,18,168152,1
9/10/14,2,Coconut Water Pineapple,15.2,1,3,18,168152,1
9/10/14,2,Coconut Water Pineapple,15.2,3,2,,168152,1
9/10/14,2,Coconut Water Pineapple,15.2,17,7,,168152,1
9/10/14,2,Defense Up,15.2,41,7,,168184,1
9/10/14,2,Apple Berry,15.2,9,7,,168158,1
9/10/14,2,Apple Berry,15.2,1,8,,168158,1
9/10/14,2,Apple Berry,15.2,1,2,,168158,1
9/10/14,2,Apple Berry,15.2,1,7,,168158,1
9/10/14,2,Defense Up,15.2,2,2,,168184,1
9/10/14,4,Defense Up,15.2,30,7,,168184,2
9/10/14,3,Mango Carrot Smoothie,15.2,1,1,,168204,2
9/10/14,2,Lime,15.2,19,1,,168251,2
9/10/14,1,Lime,15.2,6,2,,168251,2
9/10/14,1,Coconut Water Pineapple,15.2,1,7,,168152,2
9/10/14,1,Essential Vegetable,15.2,1,7,,168198,2
9/10/14,1,Defense Up,15.2,4,7,,168184,2
9/10/14,3,Defense Up,15.2,5,7,,168184,2
9/10/14,3,Org. Sweet Greens & Ginger,15.2,4,7,,168261,2
9/10/14,3,Defense Up,15.2,40,7,,168184,2
9/10/14,3,Defense Up,15.2,2,2,,168184,2
9/10/14,2,Coconut Water Pineapple,15.2,62,7,,168152,2
9/10/14,2,Coconut Water Pineapple,15.2,1,3,,168152,2
9/10/14,2,Coconut Water Pineapple,15.2,1,3,,168152,2
9/10/14,2,Coconut Water Pineapple,15.2,1,3,,168152,2
9/10/14,2,Coconut Water Pineapple,15.2,1,3,,168152,2
9/10/14,2,Coconut Water Pineapple,15.2,1,3,,168152,2
9/10/14,2,Coconut Water Pineapple,15.2,1,3,,168152,2
9/10/14,2,Coconut Water Pineapple,15.2,1,3,,168152,2
9/10/14,2,Coconut Water Pineapple,15.2,1,3,,168152,2
9/10/14,2,Coconut Water Pineapple,15.2,1,3,,168152,2
9/10/14,2,Coconut Water Pineapple,15.2,4,2,,168152,2
9/10/14,2,Essential Vegetable,15.2,7,7,,168198,2
9/10/14,2,Essential Vegetable,15.2,2,2,,168198,2
9/10/14,2,Super Green,15.2,1,3,28,168433,2
9/10/14,2,Super Green,15.2,1,3,21,168433,2
9/10/14,2,Reg Orange,15.2,1,3,19,168433,
9/10/14,2,Reg Orange,15.2,1,3,21,168433,
9/10/14,2,Reg Orange,15.2,1,3,18,168433,
9/10/14,2,Org Orange,15.2,1,3,23,168691,
9/10/14,2,Reg Orange,15.2,1,3,25,168691,
9/10/14,2,Reg Orange,15.2,1,3,19,168691,
9/10/14,2,Reg Orange,15.2,1,3,21,168433,
9/10/14,4,Defense Up,,2,2,,168184,3
9/10/14,3,Defense Up,,6,7,,168339,3
9/10/14,3,Defense Up,,1,8,,168339,3
9/10/14,3,Grapefurit,,3,6,,168125,3
9/10/14,3,Grapefurit,,3,7,,168125,3
9/10/14,3,Coconut Water Pineapple,,1,7,,168153,3
9/10/14,1,Defense Up,,5,2,,168184,3
9/10/14,2,Defense Up,,2,7,,168184,3
9/10/14,3,O. Splendid Carrot,,15,7,,168268,3
9/10/14,4,Defense Up,,4,7,,168184,3
9/10/14,1,O. Sweet Ginger lemon,,3,7,,168261,3
9/10/14,2,O. Splendid Carrot,,2,2,,168268,3
9/10/14,4,OCM- Orange Carrot Mango,,2,7,,168202,3
9/10/14,4,SGG-Sweet Greens & Ginger,,3,1,,168261,3
9/10/14,4,O. Splendid Carrot,,5,1,,168268,3
9/10/14,4,O. Ruby Roots,,3,7,,168270,3
9/10/14,2,Coconut Water Pineapple,15.2,1,3,,168152,2
9/10/14,2,Coconut Water Pineapple,15.2,52,7,,168152,2
9/10/14,2,Coconut Water Pineapple,15.2,2,1,,168152,2
9/10/14,2,Coconut Water Pineapple,15.2,16,2,,168152,2
9/10/14,2,Coconut Water Pineapple,64,1,1,,168152,2
9/10/14,2,Coconut Water Pineapple,64,13,7,,168152,2
9/10/14,2,O. Grapefuirt,64,3,7,,168325,2
9/10/14,2,O. Grapefuirt,64,1,7,,168191,2
9/10/14,2,EG-Essential Greens,15.2,1,7,,168140,2
9/10/14,2,Lime,15.2,2,7,,168250,2
9/10/14,2,MCS-Mango Carrot Smoothy,15.2,2,7,,168204,2
9/10/14,2,OCM- Orange Carrot Mango,15.2,2,2,,168202,2
9/10/14,2,OCM- Orange Carrot Mango,15.2,13,7,,168202,2
9/10/14,2,Apple Berry,15.2,18,7,,168158,2
9/10/14,2,Apple Berry,15.2,7,2,,168158,2
9/10/14,2,OSB-Organic Sweet Burn,15.2,2,7,,168145,2
9/10/14,2,OO-Oraganic Orange,15.2,1,1,,168315,2
9/10/14,2,Grapefurit,15.2,21,1,,168124,2
